symbol,sector,industry,first_seen,last_seen,consecutive_failures
AHCO,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
AHR,Real Estate,Health Care REITs,2026-08-20,2026-08-23,0
AIG,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
AIN,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
AIR,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
AIT,Industrials,Trading Companies & Distributors,2026-08-20,2026-08-23,0
AIZ,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
AJG,Financials,Insurance Brokers,2026-08-20,2026-08-23,0
AKAM,Information Technology,Internet Services & Infrastructure,2026-08-20,2026-08-23,0
AKR,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
AL,Industrials,Passenger Airlines,,,2
ALB,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
ALEX,Real Estate,Diversified REITs,,,2
ALG,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
ALGM,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
ALGN,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
ALGT,Industrials,Passenger Airlines,2026-08-20,2026-08-23,0
ALK,Industrials,Passenger Airlines,2026-08-20,2026-08-23,0
ALKS,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
ALL,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
ALLE,Industrials,Building Products,2026-08-20,2026-08-23,0
ALLY,Financials,Consumer Finance,2026-08-20,2026-08-23,0
ALRM,Financials,Application Software,2026-08-20,2026-08-23,0
ALV,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
AM,Energy,Oil & Gas Storage & Transportation,2026-08-20,2026-08-23,0
AMAT,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
AMCR,Materials,Paper & Plastic Packaging Products & Materials,2026-08-20,2026-08-23,0
AMD,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
AME,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
AMG,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
AMGN,Health Care,Biotechnology,2026-08-20,2026-08-23,0
AMH,Real Estate,Single-Family Residential REITs,2026-08-20,2026-08-23,0
AMKR,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
AMN,Health Care,Health Care Services,2026-08-20,2026-08-23,0
AMP,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
AMPH,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
AMR,Materials,Steel,2026-08-20,2026-08-23,0
AMRX,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
AMT,Real Estate,Telecom Tower REITs,2026-08-20,2026-08-23,0
AMTM,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
AMWD,Industrials,Building Products,,,2
AMZN,Consumer Discretionary,Broadline Retail,2026-08-20,2026-08-23,0
AN,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
ANDE,Consumer Staples,Food Distributors,2026-08-20,2026-08-23,0
ANET,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
ANF,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
ANIP,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
AON,Financials,Insurance Brokers,2026-08-20,2026-08-23,0
AORT,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
AOS,Industrials,Building Products,2026-08-20,2026-08-23,0
AOSL,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
APA,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
APAM,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
APD,Materials,Industrial Gases,2026-08-20,2026-08-23,0
APG,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
APH,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
APLE,Real Estate,Hotel & Resort REITs,2026-08-20,2026-08-23,0
APLS,Health Care,Pharmaceuticals,,,2
APO,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
APP,Information Technology,Application Software,2026-08-20,2026-08-23,0
APPF,Information Technology,Application Software,2026-08-20,2026-08-23,0
APTV,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
AR,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
ARCB,Industrials,Cargo Ground Transportation,2026-08-20,2026-08-23,0
ARE,Real Estate,Office REITs,2026-08-20,2026-08-23,0
ARES,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
ARI,Real Estate,Mortgage REITs,2026-08-20,2026-08-23,0
ARLO,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
ARMK,Consumer Discretionary,Distributors,2026-08-20,2026-08-23,0
AROC,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
ARR,Real Estate,Mortgage REITs,2026-08-20,2026-08-23,0
ARW,Information Technology,Technology Distributors,2026-08-20,2026-08-23,0
ARWR,Health Care,Biotechnology,2026-08-20,2026-08-23,0
ASB,Financials,Regional Banks,2026-08-20,2026-08-23,0
ASGN,Information Technology,IT Consulting & Other Services,,,2
ASH,Materials,Diversified Chemicals,2026-08-20,2026-08-23,0
ASO,Consumer Discretionary,Specialty Stores,2026-08-20,2026-08-23,0
ASTE,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
ASTH,Health Care,Health Care Facilities,2026-08-20,2026-08-23,0
ATEN,Information Technology,Systems Software,2026-08-20,2026-08-23,0
ATGE,Consumer Discretionary,Education Services,,,2
ATI,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
ATO,Utilities,Gas Utilities,2026-08-20,2026-08-23,0
ATR,Materials,"Metal, Glass & Plastic Containers",2026-08-20,2026-08-23,0
AUB,Financials,Regional Banks,2026-08-20,2026-08-23,0
AVA,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
AVAV,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
AVB,Real Estate,Multi-Family Residential REITs,2026-08-20,2026-08-23,0
AVGO,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
AVNT,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
AVT,Information Technology,Technology Distributors,2026-08-20,2026-08-23,0
AVTR,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
AVY,Materials,Paper & Plastic Packaging Products & Materials,2026-08-20,2026-08-23,0
AWI,Industrials,Building Products,2026-08-20,2026-08-23,0
AWK,Utilities,Water Utilities,2026-08-20,2026-08-23,0
AWR,Utilities,Water Utilities,2026-08-20,2026-08-23,0
AX,Financials,Regional Banks,2026-08-20,2026-08-23,0
AXON,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
AXP,Financials,Consumer Finance,2026-08-20,2026-08-23,0
AXTA,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
AYI,Industrials,Electrical Components & Equipment,2026-08-20,2026-08-23,0
AZO,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
AZTA,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
AZZ,Industrials,Heavy Electrical Equipment,2026-08-20,2026-08-23,0
BA,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
BAC,Financials,Diversified Banks,2026-08-20,2026-08-23,0
BAH,Industrials,Research & Consulting Services,2026-08-20,2026-08-23,0
BALL,Materials,"Metal, Glass & Plastic Containers",2026-08-20,2026-08-23,0
BANC,Financials,Regional Banks,2026-08-20,2026-08-23,0
BANF,Financials,Regional Banks,2026-08-20,2026-08-23,0
BANR,Financials,Regional Banks,2026-08-20,2026-08-23,0
BAX,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
BBT,Financials,Regional Banks,2026-08-20,2026-08-23,0
BBWI,Consumer Discretionary,Other Specialty Retail,2026-08-20,2026-08-23,0
BBY,Consumer Discretionary,Computer & Electronics Retail,2026-08-20,2026-08-23,0
BC,Consumer Discretionary,Leisure Products,2026-08-20,2026-08-23,0
BCC,Industrials,Building Products,2026-08-20,2026-08-23,0
BCO,Industrials,Security & Alarm Services,2026-08-20,2026-08-23,0
BCPC,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
BDC,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
BDX,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
BEN,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
BF-B,Consumer Staples,Distillers & Vintners,2026-08-20,2026-08-23,0
BFH,Financials,Consumer Finance,2026-08-20,2026-08-23,0
BG,Consumer Staples,Agricultural Products & Services,2026-08-20,2026-08-23,0
BHE,Information Technology,Electronic Manufacturing Services,2026-08-20,2026-08-23,0
BHF,Financials,Life & Health Insurance,2026-08-20,2026-08-23,0
BIIB,Health Care,Biotechnology,2026-08-20,2026-08-23,0
BILL,Information Technology,Application Software,2026-08-20,2026-08-23,0
BIO,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
BJ,Consumer Staples,Consumer Staples Merchandise Retail,2026-08-20,2026-08-23,0
BJRI,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
BK,Financials,Asset Management & Custody Banks,,,2
BKE,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
BKH,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
BKR,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
BKU,Financials,Regional Banks,2026-08-20,2026-08-23,0
BL,Information Technology,Application Software,2026-08-20,2026-08-23,0
BLD,Consumer Discretionary,Homebuilding,2026-08-23,2026-08-23,0
BLDR,Industrials,Building Products,2026-08-20,2026-08-23,0
BLFS,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
BLK,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
BLKB,Information Technology,Application Software,2026-08-20,2026-08-23,0
BMI,Information Technology,Electronic Equipment & Instruments,2026-08-20,2026-08-23,0
BMRN,Health Care,Biotechnology,2026-08-20,2026-08-23,0
BMY,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
BOH,Financials,Regional Banks,2026-08-20,2026-08-23,0
BOOT,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
BOX,Information Technology,Application Software,2026-08-20,2026-08-23,0
BR,Industrials,Data Processing & Outsourced Services,2026-08-20,2026-08-23,0
BRBR,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
BRC,Industrials,Commercial Printing,2026-08-20,2026-08-23,0
BRK-B,Financials,Multi-Sector Holdings,2026-08-20,2026-08-23,0
BRKR,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
BRO,Financials,Insurance Brokers,2026-08-20,2026-08-23,0
BROS,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
BRX,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
BSX,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
BSY,Information Technology,Application Software,2026-08-20,2026-08-23,0
BTSG,Health Care,Health Care Services,2026-08-20,2026-08-23,0
BTU,Energy,Coal & Consumable Fuels,2026-08-20,2026-08-23,0
BURL,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
BWA,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
BWXT,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
BX,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
BXMT,Financials,Mortgage REITs,2026-08-20,2026-08-23,0
BXP,Real Estate,Office REITs,2026-08-20,2026-08-23,0
BYD,Consumer Discretionary,Casinos & Gaming,2026-08-20,2026-08-23,0
C,Financials,Diversified Banks,2026-08-20,2026-08-23,0
CABO,Communication Services,Cable & Satellite,2026-08-20,2026-08-23,0
CACI,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
CAG,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
CAH,Health Care,Health Care Distributors,2026-08-20,2026-08-23,0
CAKE,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
CALM,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
CALX,Information Technology,Application Software,2026-08-20,2026-08-23,0
CAR,Industrials,Passenger Ground Transportation,2026-08-20,2026-08-23,0
CARG,Communication Services,Interactive Media & Services,2026-08-20,2026-08-23,0
CARR,Industrials,Building Products,2026-08-20,2026-08-23,0
CARS,Communication Services,Interactive Media & Services,2026-08-20,2026-08-23,0
CART,Consumer Staples,Food Retail,2026-08-20,2026-08-23,0
CASH,Financials,Regional Banks,2026-08-20,2026-08-23,0
CASY,Consumer Staples,Food Retail,2026-08-20,2026-08-23,0
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
CATY,Financials,Regional Banks,2026-08-20,2026-08-23,0
CAVA,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
CB,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
CBOE,Financials,Financial Exchanges & Data,2026-08-20,2026-08-23,0
CBRE,Real Estate,Real Estate Services,2026-08-20,2026-08-23,0
CBRL,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
CBSH,Financials,Regional Banks,2026-08-20,2026-08-23,0
CBT,Materials,Diversified Chemicals,2026-08-20,2026-08-23,0
CBU,Financials,Regional Banks,2026-08-20,2026-08-23,0
CC,Materials,Diversified Chemicals,2026-08-20,2026-08-23,0
CCI,Real Estate,Telecom Tower REITs,2026-08-20,2026-08-23,0
CCK,Materials,Paper & Plastic Packaging Products & Materials,2026-08-20,2026-08-23,0
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
CCOI,Communication Services,Alternative Carriers,2026-08-20,2026-08-23,0
CCS,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
CDNS,Information Technology,Application Software,2026-08-20,2026-08-23,0
CDP,Real Estate,Office REITs,2026-08-20,2026-08-23,0
CDW,Information Technology,Technology Distributors,2026-08-20,2026-08-23,0
CE,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
CEG,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
CELH,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-20,2026-08-23,0
CENTA,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
CENX,Materials,Aluminum,2026-08-20,2026-08-23,0
CF,Materials,Fertilizers & Agricultural Chemicals,2026-08-20,2026-08-23,0
CFG,Financials,Regional Banks,2026-08-20,2026-08-23,0
CFR,Financials,Regional Banks,2026-08-20,2026-08-23,0
CG,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
CGNX,Information Technology,Electronic Equipment & Instruments,2026-08-20,2026-08-23,0
CHCO,Financials,Regional Banks,2026-08-20,2026-08-23,0
CHD,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
CHDN,Consumer Discretionary,Casinos & Gaming,2026-08-20,2026-08-23,0
CHE,Health Care,Health Care Services,2026-08-20,2026-08-23,0
CHEF,Consumer Staples,Food Distributors,2026-08-20,2026-08-23,0
CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
CHRD,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
CHRW,Industrials,Air Freight & Logistics,2026-08-20,2026-08-23,0
CHTR,Communication Services,Cable & Satellite,2026-08-20,2026-08-23,0
CHWY,Consumer Discretionary,Other Specialty Retail,2026-08-20,2026-08-23,0
CI,Health Care,Health Care Services,2026-08-20,2026-08-23,0
CIEN,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
CINF,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
CL,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
CLF,Materials,Steel,2026-08-20,2026-08-23,0
CLH,Industrials,Environmental & Facilities Services,2026-08-20,2026-08-23,0
CLSK,Information Technology,Internet Services & Infrastructure,2026-08-20,2026-08-23,0
CLX,Consumer Staples,Household Products,2026-08-20,2026-08-23,0
CMC,Materials,Steel,2026-08-20,2026-08-23,0
CMCSA,Communication Services,Cable & Satellite,2026-08-20,2026-08-23,0
CME,Financials,Financial Exchanges & Data,2026-08-20,2026-08-23,0
CMG,Consumer Discretionary,Restaurants,2026-08-20,2026-08-23,0
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,2026-08-20,2026-08-23,0
CMS,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
CNC,Health Care,Managed Health Care,2026-08-20,2026-08-23,0
CNH,Industrials,Agricultural & Farm Machinery,2026-08-20,2026-08-23,0
CNK,Communication Services,Movies & Entertainment,2026-08-20,2026-08-23,0
CNM,Industrials,Trading Companies & Distributors,2026-08-20,2026-08-23,0
CNMD,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
CNO,Financials,Life & Health Insurance,2026-08-20,2026-08-23,0
CNP,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
CNR,Energy,Coal & Consumable Fuels,2026-08-20,2026-08-23,0
CNS,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
CNX,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
CNXC,Industrials,Data Processing & Outsourced Services,2026-08-20,2026-08-23,0
COF,Financials,Consumer Finance,2026-08-20,2026-08-23,0
COHR,Information Technology,Electronic Components,2026-08-20,2026-08-23,0
COHU,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
COIN,Financials,Financial Exchanges & Data,2026-08-20,2026-08-23,0
COKE,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-20,2026-08-23,0
COLB,Financials,Regional Banks,2026-08-20,2026-08-23,0
COLL,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
CON,Health Care,Health Care Services,2026-08-20,2026-08-23,0
COO,Health Care,Health Care Supplies,2026-08-20,2026-08-23,0
COP,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
COR,Health Care,Health Care Distributors,2026-08-20,2026-08-23,0
CORT,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
COST,Consumer Staples,Consumer Staples Merchandise Retail,2026-08-20,2026-08-23,0
CPAY,Financials,Transaction & Payment Processing Services,2026-08-20,2026-08-23,0
CPB,Consumer Staples,Packaged Foods & Meats,2026-08-20,2026-08-23,0
CPK,Utilities,Gas Utilities,2026-08-20,2026-08-23,0
CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
CPRT,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
CPRX,Health Care,Biotechnology,2026-08-23,2026-08-23,0
CPT,Real Estate,Multi-Family Residential REITs,2026-08-20,2026-08-23,0
CR,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
CRBG,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
CRC,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
CRH,Materials,Construction Materials,2026-08-20,2026-08-23,0
CRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2026-08-20,2026-08-23,0
CRK,Energy,Oil & Gas Exploration & Production,2026-08-20,2026-08-23,0
CRL,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
CRM,Information Technology,Application Software,2026-08-20,2026-08-23,0
CROX,Consumer Discretionary,Footwear,2026-08-20,2026-08-23,0
CRS,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
CRUS,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
CRVL,Health Care,Health Care Services,2026-08-20,2026-08-23,0
CRWD,Information Technology,Systems Software,2026-08-20,2026-08-23,0
CSCO,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
CSGP,Real Estate,Real Estate Services,2026-08-20,2026-08-23,0
CSGS,Industrials,Data Processing & Outsourced Services,,,2
CSL,Industrials,Industrial Conglomerates,2026-08-20,2026-08-23,0
CSW,Industrials,Industrial Conglomerates,2026-08-20,2026-08-23,0
CSX,Industrials,Rail Transportation,2026-08-20,2026-08-23,0
CTAS,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
CTRA,Energy,Oil & Gas Exploration & Production,,,2
CTRE,Real Estate,Health Care REITs,2026-08-20,2026-08-23,0
CTSH,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
CTVA,Materials,Fertilizers & Agricultural Chemicals,2026-08-20,2026-08-23,0
CUBE,Real Estate,Industrial REITs,2026-08-20,2026-08-23,0
CUBI,Financials,Regional Banks,2026-08-20,2026-08-23,0
CURB,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
CUZ,Real Estate,Office REITs,2026-08-20,2026-08-23,0
CVBF,Financials,Regional Banks,2026-08-20,2026-08-23,0
CVCO,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
CVI,Energy,Oil & Gas Refining & Marketing,2026-08-20,2026-08-23,0
CVLT,Information Technology,Systems Software,2026-08-20,2026-08-23,0
CVNA,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
CVS,Health Care,Health Care Services,2026-08-20,2026-08-23,0
CVX,Energy,Integrated Oil & Gas,2026-08-20,2026-08-23,0
CW,Industrials,Aerospace & Defense,2026-08-20,2026-08-23,0
CWEN,Utilities,Renewable Electricity,2026-08-20,2026-08-23,0
CWK,Real Estate,Real Estate Services,2026-08-20,2026-08-23,0
CWST,Industrials,Environmental & Facilities Services,2026-08-20,2026-08-23,0
CWT,Utilities,Water Utilities,2026-08-20,2026-08-23,0
CXT,Information Technology,Electronic Equipment & Instruments,2026-08-20,2026-08-23,0
CXW,Industrials,Diversified Support Services,2026-08-20,2026-08-23,0
CYTK,Health Care,Biotechnology,2026-08-20,2026-08-23,0
CZR,Consumer Discretionary,Casinos & Gaming,2026-08-20,2026-08-23,0
D,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
DAL,Industrials,Passenger Airlines,2026-08-20,2026-08-23,0
DAN,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
DAR,Consumer Staples,Agricultural Products & Services,2026-08-20,2026-08-23,0
DASH,Consumer Discretionary,Specialized Consumer Services,2026-08-20,2026-08-23,0
DBX,Information Technology,Application Software,2026-08-20,2026-08-23,0
DCI,Industrials,Industrial Machinery & Supplies & Components,2026-08-20,2026-08-23,0
DD,Materials,Specialty Chemicals,2026-08-20,2026-08-23,0
DDOG,Information Technology,Application Software,2026-08-20,2026-08-23,0
DE,Industrials,Agricultural & Farm Machinery,2026-08-20,2026-08-23,0
DECK,Consumer Discretionary,Footwear,2026-08-20,2026-08-23,0
DEI,Real Estate,Office REITs,2026-08-20,2026-08-23,0
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",2026-08-20,2026-08-23,0
DG,Consumer Staples,Consumer Staples Merchandise Retail,2026-08-20,2026-08-23,0
DGII,Information Technology,Communications Equipment,2026-08-20,2026-08-23,0
DGX,Health Care,Health Care Services,2026-08-20,2026-08-23,0
DHI,Consumer Discretionary,Homebuilding,2026-08-20,2026-08-23,0
DHR,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
DINO,Energy,Oil & Gas Refining & Marketing,2026-08-20,2026-08-23,0
DIOD,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
DIS,Communication Services,Movies & Entertainment,2026-08-20,2026-08-23,0
DKS,Consumer Discretionary,Specialty Stores,2026-08-20,2026-08-23,0
DLB,Information Technology,Application Software,2026-08-20,2026-08-23,0
DLR,Real Estate,Data Center REITs,2026-08-20,2026-08-23,0
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,2026-08-20,2026-08-23,0
DLX,Industrials,Commercial Printing,2026-08-20,2026-08-23,0
DNOW,Industrials,Trading Companies & Distributors,2026-08-20,2026-08-23,0
DOC,Real Estate,Health Care REITs,2026-08-20,2026-08-23,0
DOCN,Information Technology,Internet Services & Infrastructure,2026-08-20,2026-08-23,0
DOCS,Health Care,Health Care Technology,2026-08-20,2026-08-23,0
DOCU,Information Technology,Application Software,2026-08-20,2026-08-23,0
